Model,Cluster,Multistage,Simple Random,Stratified,Systematic
GradientBoosting,0.9901960784313726,0.9895833333333334,0.922077922077922,0.9934640522875817,0.75
KNeighbors,0.8300653594771242,0.8020833333333334,0.7922077922077922,0.826797385620915,0.625
LogisticRegression,0.9183006535947712,0.9114583333333334,0.8831168831168831,0.9183006535947712,0.8125
RandomForest,1.0,0.9947916666666666,0.974025974025974,0.9934640522875817,0.75
SVM,0.6830065359477124,0.6302083333333334,0.5844155844155844,0.6928104575163399,0.625
